2024,,, ,,,,,,,,,,
,,,,,,,,,,,,,
Krakka Æfingar,,,U16 Æfingar,,,U21 Æfingar,,,Fullorðins,,,Mánaðarkort,
Tekjur,,,Tekjur,,,Tekjur,,,Tekjur,,,Bogfimisetrið,
Vor,350000,,Vor,700000,,Vor,250000,,Vor,451750,,Vor,772500
Sumar,150000,,Sumar,150000,,Sumar,300000,,Sumar,460375,,Sumar,712500
Haust,"775,000",,Haust,"775,000",,Haust,"500,000",,Haust,819875,,Haust,825000
Samtals,1275000,,Samtals,1625000,,Samtals,1050000,,Samtals,1732000,,Samtals,2310000
,,,,,,,,,,,,,
Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,,
Vor,175000,,Vor,350000,,Vor,111500,,Vor,240500,,,
Sumar,75000,,Sumar,125000,,Sumar,82500,,Sumar,247250,,,
Haust,"387,500",,Haust,"425,000",,Haust,"209,500",,Haust,436750,,,
Samtals,637500,,Samtals,900000,,Samtals,403500,,Samtals,924500,,,
,,,,,,,,,,,,,
Laun,,,Laun,,,Laun,,,Laun,,,,
Vor,280816,,Vor,213486,,Vor,284648,,Vor,0,,,
Sumar,192717,,Sumar,219765,,Sumar,293020,,Sumar,0,,,
Haust,359352,,Haust,"194,649",,Haust,"259,532",,Haust,0,,,
Samtals,832885,,Samtals,627900,,Samtals,837200,,Samtals,0,,,
,,,,,,,,,,,,,
Margins,,,Margins,,,Margins,,,Margins,,,Samtals Margin,
Vor,-105816,,Vor,136514,,Vor,-146148,,Vor,211250,,Vor samtals,"95,800"
Sumar,-117717,,Sumar,-94765,,Sumar,-75520,,Sumar,213125,,Sumar samtals,"-74,877"
Haust,28148,,Haust,"305,351",,Haust,"30,968",,Haust,383125,,Haust samtals,"747,592"
Samtals,-195385,,Samtals,347100,,Samtals,-190700,,Samtals,807500,,Samtals,"768,515"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Samtals,Á mánuði,,,,,,,,,,,
Tekjur,"5,682,000kr","473,500kr",,Bogfimisetrið,Samtals,Mánuði,,Bogfimisetrið Greitt Vor,,Mánaðarkort,Total,,
Bogfimisetrið,"2,865,500kr","238,792kr",,Vor,"877,000","219,250",,Janúar,"162,000","195,000","357,000",,
Laun,"2,297,985kr","191,499kr",,Sumar,"529,750","132,438",,Febrúar,"189,750","195,000","384,750",,
Margin,"768,515kr","64,043kr",,Haust,"1,458,750","364,688",,Mars,"204,500","195,000","399,500",,
,,,,,"2,865,500",,,Apríl,"219,250","187,500","406,750",,
,,,,,238792,,,,,,,,
,,,,,,,,Bogfimisetrið Greitt Sumar,,Mánaðarkort,Grunnnámskeið,Total,
,,,,,,,,Maí,"158,000","180,000",0,"338,000",
,,,,,,,,Júní,"97,563","172,500",0,"270,063",
,,,,,,,,Júlí,"115,000","180,000",0,"295,000",
,,,,,,,,Ágúst,"133,000","180,000",30000,"343,000",
,,,,,,,,,,,,,
,,,,,,,,Bogfimisetrið Greitt Haust,,Mánaðarkort,Grunnnámskeið,Total,
,,,,,,,,September,"240,375","195,000",180000,"615,375",
,,,,,,,,Október,"299,125","210,000",120000,"629,125",
,,,,,,,,Nóvember,"339,875","210,000",0,"549,875",
,,,,,,,,Desember,"364,688","210,000",0,"574,688",
